date,market,commodity,unit,pricetype,currency,price
2010-04-15,Nairobi,Maize,KG,Wholesale,KES,22.28
2010-04-15,Nairobi,Beans,KG,Wholesale,KES,51.57
2010-04-15,Kisumu,Maize,KG,Wholesale,KES,25.85
2010-04-15,Kisumu,Beans,KG,Wholesale,KES,49.81
2010-05-15,Nairobi,Maize,KG,Wholesale,KES,19.2
2010-05-15,Kisumu,Maize,KG,Wholesale,KES,18.72
2010-05-15,Kisumu,Beans,KG,Wholesale,KES,48.39
2010-06-15,Nairobi,Maize,KG,Wholesale,KES,18.68
2010-06-15,Kisumu,Maize,KG,Wholesale,KES,18.86
2010-07-15,Nairobi,Maize,KG,Wholesale,KES,13.61
2010-07-15,Kisumu,Maize,KG,Wholesale,KES,16.42
2010-07-15,Kisumu,Beans,KG,Wholesale,KES,41.15
2010-08-15,Nairobi,Beans,KG,Wholesale,KES,49.06
2010-08-15,Kisumu,Maize,KG,Wholesale,KES,16.81
2010-09-15,Nairobi,Maize,KG,Wholesale,KES,16.71
2010-09-15,Nairobi,Beans,KG,Wholesale,KES,56.05
2010-09-15,Kisumu,Maize,KG,Wholesale,KES,17.4
2010-09-15,Kisumu,Beans,KG,Wholesale,KES,62.56
2010-10-15,Nairobi,Maize,KG,Wholesale,KES,16.86
2010-10-15,Nairobi,Beans,KG,Wholesale,KES,60.76
2010-10-15,Kisumu,Maize,KG,Wholesale,KES,18.15
2010-10-15,Kisumu,Beans,KG,Wholesale,KES,56.62
2010-11-15,Kisumu,Maize,KG,Wholesale,KES,19.41
2010-12-15,Nairobi,Beans,KG,Wholesale,KES,61.05
2010-12-15,Kisumu,Maize,KG,Wholesale,KES,19.1
2011-01-15,Kisumu,Maize,KG,Wholesale,KES,18.89
2011-02-15,Nairobi,Beans,KG,Wholesale,KES,55.46
2011-02-15,Kisumu,Maize,KG,Wholesale,KES,22.04
2011-03-15,Nairobi,Maize,KG,Wholesale,KES,23.39
2011-03-15,Kisumu,Maize,KG,Wholesale,KES,25.11
2011-03-15,Kisumu,Beans,KG,Wholesale,KES,61.87
2011-04-15,Nairobi,Beans,KG,Wholesale,KES,71.89
2011-04-15,Kisumu,Maize,KG,Wholesale,KES,33.23
2011-05-15,Nairobi,Beans,KG,Wholesale,KES,79.42
2011-05-15,Kisumu,Maize,KG,Wholesale,KES,39.62
2011-05-15,Kisumu,Beans,KG,Wholesale,KES,83.56
2011-06-15,Kisumu,Maize,KG,Wholesale,KES,44.01
2011-07-15,Nairobi,Maize,KG,Wholesale,KES,45.58
2011-07-15,Nairobi,Beans,KG,Wholesale,KES,63.53
2011-07-15,Kisumu,Maize,KG,Wholesale,KES,53.03
2011-08-15,Nairobi,Maize,KG,Wholesale,KES,42.93
2011-08-15,Kisumu,Maize,KG,Wholesale,KES,43.63
2011-08-15,Kisumu,Beans,KG,Wholesale,KES,79.05
2011-09-15,Nairobi,Beans,KG,Wholesale,KES,75.44
2011-09-15,Kisumu,Maize,KG,Wholesale,KES,35.95
2011-09-15,Kisumu,Beans,KG,Wholesale,KES,78.69
2011-10-15,Nairobi,Maize,KG,Wholesale,KES,33.63
2011-10-15,Nairobi,Beans,KG,Wholesale,KES,67.18
2011-10-15,Kisumu,Maize,KG,Wholesale,KES,34.56
2011-10-15,Kisumu,Beans,KG,Wholesale,KES,75.04
2011-11-15,Nairobi,Maize,KG,Wholesale,KES,35.52
2011-11-15,Nairobi,Beans,KG,Wholesale,KES,59.56
2011-11-15,Kisumu,Maize,KG,Wholesale,KES,38.48
2011-12-15,Nairobi,Beans,KG,Wholesale,KES,61.4
2011-12-15,Kisumu,Maize,KG,Wholesale,KES,39.98
2011-12-15,Kisumu,Beans,KG,Wholesale,KES,72.74
2012-01-15,Nairobi,Beans,KG,Wholesale,KES,58.57
2012-01-15,Kisumu,Maize,KG,Wholesale,KES,39.48
2012-01-15,Kisumu,Beans,KG,Wholesale,KES,74.75
2012-02-15,Nairobi,Maize,KG,Wholesale,KES,30.2
2012-02-15,Kisumu,Maize,KG,Wholesale,KES,38.15
2012-03-15,Nairobi,Maize,KG,Wholesale,KES,29.5
2012-03-15,Kisumu,Maize,KG,Wholesale,KES,35.18
2012-03-15,Kisumu,Beans,KG,Wholesale,KES,73.92
2012-04-15,Nairobi,Maize,KG,Wholesale,KES,30.54
2012-04-15,Kisumu,Maize,KG,Wholesale,KES,34.96
2012-04-15,Kisumu,Beans,KG,Wholesale,KES,69.24
2012-05-15,Nairobi,Maize,KG,Wholesale,KES,35.96
2012-05-15,Nairobi,Beans,KG,Wholesale,KES,64.71
2012-05-15,Kisumu,Maize,KG,Wholesale,KES,38.66
2012-05-15,Kisumu,Beans,KG,Wholesale,KES,73.14
2012-06-15,Nairobi,Maize,KG,Wholesale,KES,38.31
2012-06-15,Nairobi,Beans,KG,Wholesale,KES,63.83
2012-06-15,Kisumu,Maize,KG,Wholesale,KES,44.26
2012-07-15,Kisumu,Maize,KG,Wholesale,KES,39.77
2012-07-15,Kisumu,Beans,KG,Wholesale,KES,60.14
2012-08-15,Nairobi,Beans,KG,Wholesale,KES,51.7
2012-08-15,Kisumu,Maize,KG,Wholesale,KES,38.23
2012-08-15,Kisumu,Beans,KG,Wholesale,KES,54.41
2012-09-15,Kisumu,Maize,KG,Wholesale,KES,32.62
2012-10-15,Nairobi,Maize,KG,Wholesale,KES,37.83
2012-10-15,Nairobi,Beans,KG,Wholesale,KES,57.08
2012-10-15,Kisumu,Maize,KG,Wholesale,KES,31.68
2012-10-15,Kisumu,Beans,KG,Wholesale,KES,52.66
